PortID,USACEPortName,USATradePortName
349,"Manhasset Bay, NY","Manhasset Bay, NY"
3720,"Manistee, MI","Manistee, MI"
3799,"Manistique, MI","Manistique, MI"
3760,"Manitowoc, WI","Manitowoc, WI"
1250,"Manns, NC","Manns, NC"
147,"Marblehead, MA","Marblehead, MA"
3212,"Marblehead, OH","Marblehead, OH"
5251,"Marcus Hook, PA","Marcus Hook, PA"
3506,"Marine City, MI","Marine City, MI"
3844,"Marquette, MI","Marquette, MI"
3512,"Marysville, MI","Marysville, MI"
2410,"Matagorda Port Lv Pt Com, TX","Matagorda Port Lv Pt Com, TX"
113,"Matinicus, ME","Matinicus, ME"
186,"Mattapoisett, MA","Mattapoisett, MA"
523,"Mattituck, NY","Mattituck, NY"
2154,"Mayaguez, PR","Mayaguez, PR"
2106,"Melbourne, FL","Melbourne, FL"
2294,"Memphis, TN","Memphis, TN"
3793,"Menominee, MI and WI","Menominee, MI and WI"
4832,"Metlakatla, AK","Metlakatla, AK"
2109,"Miami River, FL","Miami River, FL"
2164,"Miami, FL","Miami, FL"
3735,"Michigan City, IN","Michigan City, IN"
310,"Milford, CT","Milford, CT"
3756,"Milwaukee, WI","Milwaukee, WI"
2321,"Minneapolis, MN","Minneapolis, MN"
4130,"Mission Bay, CA","Mission Bay, CA"
2005,"Mobile, AL","Mobile, AL"
725,"Monroe Bay and Creek, VA","Monroe Bay and Creek, VA"
3202,"Monroe, MI","Monroe, MI"
4325,"Monterey Harbor, CA","Monterey, CA"
764,"Morehead City, NC","Morehead City, NC"
2087,"Morgan City, LA, Port of","Morgan City, LA"
4138,"Morro Bay, CA","Morro Bay, CA"
4330,"Moss Landing, CA","Moss Landing, CA"
2332,"Mount Vernon, IN","Mount Vernon, IN"
1234,"Muddy Hook and Tyler Coves, MD","Muddy Hook and Tyler Coves, MD"
3725,"Muskegon, MI","Muskegon, MI"
153,"Mystic River, MA","Mystic River, MA"
433,"Nanticoke, MD","Nanticoke, MD"
183,"Nantucket, MA","Nantucket, MA"
2370,"Nashville, TN","Nashville, TN"
2270,"Natchez, MS","Natchez, MS"
4430,"Nawiliwili, Kauai, HI","Nawiliwili-Port Allen, HI"
4706,"Neah Bay, WA","Neah Bay, WA"
161,"Neponset River, MA","Neponset River, MA"
187,"New Bedford, MA","New Bedford, MA"
3744,"New Buffalo, MI","New Buffalo, MI"
