FID,portt_code,longitude,latitude,name,dvrpc,GEOID,geom
146,L3139,-87.15521,41.64325,"Burns Waterway Harbor, IN",FALSE,16980,
147,L3202,-83.390609,41.915134,"Monroe, MI",FALSE,33780,
148,L3204,-83.50751,41.66294,"Toledo, OH",FALSE,45780,
149,L3210,-82.72835,41.61461,"Kelleys Island, OH",FALSE,41780,
150,L3212,-82.70906,41.52962,"Marblehead, OH",FALSE,45780,
151,L3213,-82.71227,41.47022,"Sandusky, OH",FALSE,41780,
152,L3214,-82.54399,41.405,"Huron, OH",FALSE,41780,
153,L3216,-82.19514,41.48248,"Lorain, OH",FALSE,17460,
154,L3217,-81.67191,41.47852,"Cleveland, OH",FALSE,17460,
155,L3218,-81.29407,41.76666,"Fairport Harbor, OH",FALSE,17460,
156,L3219,-80.79172,41.91873,"Ashtabula, OH",FALSE,11780,
157,L3220,-80.5486,41.96671,"Conneaut, OH",FALSE,11780,
158,L3221,-80.06792,42.15154,"Erie, PA",FALSE,21500,
159,L3230,-78.89526,42.8783,"Buffalo, NY",FALSE,15380,
160,L3321,-83.109586,42.269094,"Detroit, MI",FALSE,19820,
161,L3506,-82.50235,42.71545,"Marine City, MI",FALSE,19820,
162,L3509,-82.49413,42.82663,"St. Clair, MI",FALSE,19820,
163,L3512,-82.480822,42.827056,"Marysville, MI",FALSE,19820,
164,L3617,-83.42227,45.0556,"Alpena, MI",FALSE,10980,
165,L3619,-83.420781,45.298455,"Stoneport, MI",FALSE, ,
166,L3620,-83.7756,45.39293,"Calcite, MI",FALSE, ,
167,L3627,-84.31281,45.99139,"Port Dolomite, MI",FALSE, ,
168,L3706,-85.24348,45.31294,"Charlevoix, MI",FALSE, ,
169,L3720,-86.34428,44.25082,"Manistee, MI",FALSE, ,
170,L3725,-86.35014,43.19492,"Muskegon, MI",FALSE,34740,
171,L3728,-86.23557,43.06694,"Grand Haven, MI",FALSE,26100,
172,L3736,-87.32513,41.61202,"Gary, IN",FALSE,16980,
173,L3737,-87.41614,41.64523,"Buffington, IN",FALSE,16980,
174,L3738,-87.44547,41.67586,"Indiana Harbor, IN",FALSE,16980,
175,L3739,-87.15521,41.64325,"Burns Waterway Harbor, IN",FALSE,16980,
176,L3749,-87.63799,41.88662,"Chicago, IL",FALSE,16980,
177,L3756,-87.89967,42.98824,"Milwaukee, WI",FALSE,33340,
178,L3778,-88.018118,44.516215,"Green Bay, WI",FALSE,24580,
179,L3795,-87.024999,45.733509,"Escanaba, MI",FALSE,21540,
180,L3803,-85.86279,45.95508,"Port Inland, MI",FALSE, ,
181,L3813,-83.88556,45.99245,"Drummond Island, MI",FALSE,42300,
182,L3844,-87.28703,46.51113,"Marquette, MI",FALSE,32100,
183,L3845,-87.385166,46.577367,"Presque Isle, MI",FALSE,32100,
184,L3924,-92.096408,46.778362,"Duluth-Superior, MN and WI",FALSE,20260,
185,L3925,-91.27573,47.28433,"Silver Bay, MN",FALSE, ,
186,L3926,-91.66261,47.00428,"Two Harbors, MN",FALSE, ,
187,L3928,-91.256388,47.294208,"Silver Bay, MN",FALSE, ,
188,L3929,-90.88722,47.55016,"Taconite Harbor, MN",FALSE, ,
